LATITUDE,LONGITUDE,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,DAYNIGHT,X,Y
33.506785999999998,-111.781713999999994,6267.000000000000000,2739.000000000000000,11/21/2023 0:00:00,1804,L8,OLI,L,D,-111.781703050000004,33.506780810000002
33.506785999999998,-111.781713999999994,1437.000000000000000,2659.000000000000000,11/22/2023 0:00:00,1758,L9,OLI-2,L,D,-111.781703050000004,33.506780810000002
34.292020000000001,-118.801953999999995,2429.000000000000000,5077.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801941709999994,34.292015100000000
34.291750000000000,-118.801947999999996,2429.000000000000000,5078.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801935709999995,34.291745100000000
34.291479000000002,-118.801941999999997,2429.000000000000000,5079.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801929709999996,34.291474100000002
34.291755000000002,-118.801621999999995,2430.000000000000000,5078.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801609709999994,34.291750100000002
34.291483999999997,-118.801615999999996,2430.000000000000000,5079.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,M,D,-118.801603709999995,34.291479099999997
33.716098000000002,-117.710756000000003,5762.000000000000000,7247.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,5762.000000000000000,7248.000000000000000,11/25/2023 0:00:00,1828,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.715828000000002,-117.710753999999994,7082.000000000000000,1978.000000000000000,11/25/2023 0:00:00,1829,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.716098000000002,-117.710756000000003,7082.000000000000000,1977.000000000000000,11/25/2023 0:00:00,1829,L9,OLI-2,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,2212.000000000000000,1898.000000000000000,11/26/2023 0:00:00,1822,L8,OLI,L,D,-117.710741940000005,33.715823100000001
30.340682999999999,-97.618982000000003,4562.000000000000000,3729.000000000000000,12/1/2023 0:00:00,1703,L8,OLI,H,D,-97.618974420000001,30.340677719999999
30.340686000000002,-97.619293999999996,4561.000000000000000,3729.000000000000000,12/1/2023 0:00:00,1703,L8,OLI,H,D,-97.619286419999995,30.340680720000002
33.715829999999997,-117.710430000000002,6993.000000000000000,1978.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,M,D,-117.710417939999999,33.715825100000004
33.715828000000002,-117.710753999999994,6992.000000000000000,1978.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.716098000000002,-117.710756000000003,6992.000000000000000,1977.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,M,D,-117.710743940000000,33.716093100000002
33.715826000000000,-117.711078000000001,6991.000000000000000,1978.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,L,D,-117.711065939999997,33.715821099999999
33.715829999999997,-117.710430000000002,5683.000000000000000,7258.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,M,D,-117.710417939999999,33.715825100000004
33.715828000000002,-117.710753999999994,5682.000000000000000,7258.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.716098000000002,-117.710756000000003,5682.000000000000000,7257.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,M,D,-117.710743940000000,33.716093100000002
33.715826000000000,-117.711078000000001,5681.000000000000000,7258.000000000000000,12/3/2023 0:00:00,1828,L8,OLI,L,D,-117.711065939999997,33.715821099999999
30.340686000000002,-97.619293999999996,4571.000000000000000,3719.000000000000000,12/9/2023 0:00:00,1703,L9,OLI-2,H,D,-97.619286419999995,30.340680720000002
33.716098000000002,-117.710756000000003,5732.000000000000000,7247.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,L,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,5732.000000000000000,7248.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
34.292015999999997,-118.802279999999996,2398.000000000000000,5077.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,L,D,-118.802267709999995,34.292011100000003
