"","LATITUDE","LONGITUDE","BRIGHTNESS","SCAN","TRACK","ACQ_DATE","ACQ_TIME","SATELLITE","INSTRUMENT","CONFIDENCE","VERSION","BRIGHT_T31","FRP","DAYNIGHT","TYPE","X","Y","Date"
"53",34.29202,-118.801954,NA,2399,5087,"8/26/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-08-26
"54",33.715828,-117.710754,NA,5732,7258,"8/26/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-26
"55",33.716098,-117.710756,NA,5732,7257,"8/26/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-26
"56",33.716098,-117.710756,NA,7042,1977,"8/26/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-26
"57",33.715828,-117.710754,NA,7042,1978,"8/26/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-26
"58",33.716098,-117.710756,NA,2212,1897,"8/27/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-27
"59",33.715828,-117.710754,NA,2212,1898,"8/27/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-27
"60",33.717269,-117.695224,NA,2260,1893,"8/27/2022 0:00:00",1822,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-08-27
"61",33.715826,-117.711078,NA,7021,1978,"9/3/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-09-03
"62",33.71754,-117.695227,NA,7070,1972,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-09-03
"63",33.715828,-117.710754,NA,7022,1978,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-09-03
"64",33.716098,-117.710756,NA,7022,1977,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-09-03
"65",34.291745,-118.802274,NA,2378,5078,"9/3/2022 0:00:00",1828,"L9","OLI-2","L",NA,NA,NA,"D",NA,-118.80226171,34.2917401,2022-09-03
"66",34.29202,-118.801954,NA,2379,5077,"9/3/2022 0:00:00",1828,"L9","OLI-2","L",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-09-03
"67",34.29175,-118.801948,NA,2379,5078,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-09-03
"68",33.715826,-117.711078,NA,5711,7248,"9/3/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-09-03
"69",33.716098,-117.710756,NA,5712,7247,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-09-03
"70",33.715828,-117.710754,NA,5712,7248,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-09-03
